578	100
69614	69678	1	1	1	1
71530	71583	2	0	0	2
106460	106533	4	1	1	2
109009	109046	1	0	1	1
124193	124254	2	1	0	2
125169	125230	1	0	0	1
140646	140742	1	1	0	1
142661	142717	1	1	0	1
143581	143664	1	0	0	1
145317	145374	2	0	0	2
149400	149460	1	0	0	1
165698	165754	2	1	1	2
193093	193154	2	0	1	2
194143	194211	2	0	0	2
201710	201741	1	0	1	1
221643	221689	1	0	0	1
223327	223385	1	0	0	1
224217	224281	1	0	0	1
248271	248332	1	0	0	1
252530	252594	1	0	1	1
253502	253558	1	2	0	1
266187	266232	2	0	0	2
266842	267104	2	0	0	2
276101	276156	2	0	0	2
279923	280014	1	0	0	1
284993	285054	2	0	2	2
288582	288661	2	0	1	2
296754	296807	1	0	1	1
302641	302710	2	0	2	2
354348	354401	2	0	3	2
359554	359592	2	0	1	2
409198	409263	1	1	0	1
434161	434214	1	4	0	1
454933	454979	2	0	0	2
459468	459785	1	0	0	1
465026	465110	2	0	0	2
474619	474707	2	1	0	2
483994	484053	1	0	0	1
492351	492402	2	1	2	2
509472	509523	1	2	0	1
566210	566240	1	1	0	1
573189	573342	1	3	0	1
608184	608236	2	3	2	2
626183	626315	1	0	0	1
635293	635362	1	1	1	1
639059	639119	1	0	0	1
649028	649064	1	4	0	1
666729	666777	2	0	0	2
690601	690893	2	2	1	2
691440	691493	1	2	0	1
699775	699799	1	0	0	1
703925	703955	2	0	0	2
765630	765670	1	0	0	1
779380	779422	2	2	0	2
789411	789474	1	1	0	1
800535	800593	2	0	2	2
800679	800748	2	0	0	2
882824	882917	2	0	0	2
893440	893516	2	0	0	2
897000	897059	2	1	0	2
903359	903420	2	0	1	2
932227	932305	2	1	3	2
954561	954654	2	0	1	2
955153	955204	2	0	3	2
955550	955562	1	0	0	1
959999	960115	1	0	0	1
961988	962032	2	0	0	2
983004	983143	1	1	0	1
986638	986697	1	1	3	1
1012682	1012733	2	0	0	2
1052698	1052757	1	1	1	1
1058289	1058496	1	0	0	1
1058753	1058801	1	2	0	1
1069016	1069066	1	0	0	1
1077439	1077570	2	1	0	2
1132473	1132768	1	1	1	1
1136765	1136842	1	1	0	1
1150545	1150617	1	2	0	1
1163770	1163813	1	0	1	1
1192036	1192194	2	0	0	2
1216521	1216597	1	0	0	1
1229532	1229562	1	0	0	1
1238839	1238926	1	0	0	1
1240826	1240900	2	0	0	2
1243705	1243802	2	0	1	2
1266327	1266439	2	0	3	2
1314286	1314350	2	0	0	2
1324684	1324751	2	1	0	2
1324838	1324886	2	1	0	2
1381608	1381668	2	0	3	2
1381775	1381819	2	0	0	2
1409424	1409477	1	1	0	1
1427234	1427459	2	0	0	2
1433470	1433498	1	0	1	1
1440843	1440933	2	0	0	2
1448632	1448893	1	0	0	1
1458995	1459451	2	0	0	2
1490980	1491128	2	0	1	2
1498556	1498625	1	2	0	1
1519957	1520044	2	0	1	2
1524118	1524146	2	0	0	2
1528210	1528460	2	0	2	2
1528937	1529020	2	1	2	2
1580028	1580115	2	2	2	2
1602102	1602213	2	0	0	2
1628701	1628757	2	0	0	2
1628800	1628857	2	0	0	2
1634769	1634853	2	2	0	2
1636695	1636761	2	0	0	2
1686829	1686932	2	0	0	2
1706136	1706201	2	1	1	2
1706790	1706848	2	0	1	2
1712121	1712138	0	0	0	2
1714511	1714593	1	0	0	1
1714981	1715400	1	0	1	1
1734509	1734634	1	0	3	1
1744562	1744620	2	0	1	2
1763165	1763327	1	0	0	1
1788477	1788512	2	0	0	2
1793663	1793763	1	0	0	1
1800952	1801013	2	0	0	2
1802676	1802728	1	0	0	1
1819437	1819561	1	0	0	1
1835597	1835677	2	0	0	2
1838501	1838571	2	1	0	2
1838912	1838982	1	0	0	1
1855200	1855257	1	0	1	1
1877830	1877888	1	1	0	1
1888351	1888416	2	0	0	2
1892719	1892767	1	0	0	1
1898214	1898688	1	1	2	1
