1	69615	69679	+
1	71531	71584	-
1	106461	106534	-
1	109010	109047	+
1	124194	124255	-
1	125170	125231	+
1	140647	140743	+
1	142662	142718	+
1	143582	143665	+
1	145318	145375	-
1	149401	149461	+
1	165699	165755	-
1	193094	193155	-
1	194144	194212	-
1	201711	201742	+
1	221644	221690	+
1	223328	223386	+
1	224218	224282	+
1	248272	248333	+
1	252531	252595	+
1	253503	253559	+
1	266188	266233	-
1	266843	267105	-
1	276102	276157	-
1	279924	280015	+
1	284994	285055	-
1	288583	288662	-
1	296755	296808	+
1	302642	302711	-
1	354349	354402	-
1	359555	359593	-
1	409199	409264	+
1	434162	434215	+
1	454934	454980	-
1	459469	459786	+
1	465027	465111	-
1	474620	474708	-
1	483995	484054	+
1	492352	492403	-
1	509473	509524	+
1	566211	566241	+
1	573190	573343	+
1	608185	608237	-
1	626184	626316	+
1	635294	635363	+
1	639060	639120	+
1	649029	649065	+
1	666730	666778	-
1	690602	690894	-
1	691441	691494	+
1	699776	699800	+
1	703926	703956	-
1	765631	765671	+
1	779381	779423	-
1	789412	789475	+
1	800536	800594	-
1	800680	800749	-
1	882825	882918	-
1	893441	893517	-
1	897001	897060	-
1	903360	903421	-
1	932228	932306	-
1	954562	954655	-
1	955154	955205	-
1	955551	955563	+
1	960000	960116	+
1	961989	962033	-
1	983005	983144	+
1	986639	986698	+
1	1012683	1012734	-
1	1052699	1052758	+
1	1058290	1058497	+
1	1058754	1058802	+
1	1069017	1069067	+
1	1077440	1077571	-
1	1132474	1132769	+
1	1136766	1136843	+
1	1150546	1150618	+
1	1163771	1163814	+
1	1192037	1192195	-
1	1216522	1216598	+
1	1229533	1229563	+
1	1238840	1238927	+
1	1240827	1240901	-
1	1243706	1243803	-
1	1266328	1266440	-
1	1314287	1314351	-
1	1324685	1324752	-
1	1324839	1324887	-
1	1381609	1381669	-
1	1381776	1381820	-
1	1409425	1409478	+
1	1427235	1427460	-
1	1433471	1433499	+
1	1440844	1440934	-
1	1448633	1448894	+
1	1458996	1459452	-
1	1490981	1491129	-
1	1498557	1498626	+
1	1519958	1520045	-
1	1524119	1524147	-
1	1528211	1528461	-
1	1528938	1529021	-
1	1580029	1580116	-
1	1602103	1602214	-
1	1628702	1628758	-
1	1628801	1628858	-
1	1634770	1634854	-
1	1636696	1636762	-
1	1686830	1686933	-
1	1706137	1706202	-
1	1706791	1706849	-
1	1712122	1712139	-
1	1714512	1714594	+
1	1714982	1715401	+
1	1734510	1734635	+
1	1744563	1744621	-
1	1763166	1763328	+
1	1788478	1788513	-
1	1793664	1793764	+
1	1800953	1801014	-
1	1802677	1802729	+
1	1819438	1819562	+
1	1835598	1835678	-
1	1838502	1838572	-
1	1838913	1838983	+
1	1855201	1855258	+
1	1877831	1877889	+
1	1888352	1888417	-
1	1892720	1892768	+
1	1898215	1898689	+
1	1902324	1902667	-
1	1919181	1919426	+
1	1942063	1942141	-
1	1956017	1956077	-
1	1993860	1993943	+
1	1997911	1997962	+
1	2037614	2037672	+
1	2045323	2045407	-
