5392
CAY67059	5017	6498	6498	1	1	0
CAY67060	10238	11734	6498	2	1	1
CAY67061	12197	13324	11734	1	1	2
CAY67062	14950	15363	13324	2	1	3
CAY67063	17265	19082	15363	1	1	4
CAY67064	19281	20942	19082	2	1	5
CAY67065	24467	25063	20942	1	1	6
CAY67066	25977	27353	25063	1	1	7
CAY67067	27495	29474	27353	2	1	8
CAY67068	29839	30606	29474	1	1	9
CAY67069	31331	32953	30606	1	1	10
CAY67070	33146	35350	32953	2	1	11
CAY67071	36295	37458	35350	1	1	12
CAY67072	37817	38125	37458	1	1	13
EFKPAT00000000022	38754	38873	38125	1	1	14
CAY67073	38764	38979	38873	2	1	15
CAY67074	39525	42299	38979	1	1	16
CAY67075	42366	44351	42299	2	1	17
CAY67076	45315	46829	44351	1	1	18
CAY67077	47055	48599	46829	1	1	19
CAY67078	48592	49581	48599	2	1	20
CAY67079	50360	53056	49581	1	1	21
CAY67080	53291	54151	53056	1	1	22
CAY67081	54198	54911	54151	2	1	23
CAY67082	55031	56005	54911	1	1	24
CAY67083	56116	57873	56005	1	1	25
CAY67084	57875	59596	57873	2	1	26
CAY67085	59901	60932	59596	1	1	27
CAY67086	61002	62021	60932	2	1	28
CAY67087	64772	66367	62021	1	1	29
CAY67088	66403	69255	66367	2	1	30
CAY67089	69611	70062	69255	1	2	31
CAY67090	70517	71641	70062	2	2	33
CAY67091	71802	73391	71641	1	1	35
CAY67092	73491	75626	73391	2	1	36
EFKPAT00000000069	76848	76918	75626	2	1	37
ENSRNA049564929-T1	76848	76918	76918	2	1	38
CAY67093	77296	80172	76918	1	1	39
CAY67094	80452	83499	80172	1	1	40
CAY67095	83813	86839	83499	1	1	41
CAY67096	87089	88756	86839	1	1	42
CAY67097	88829	90016	88756	2	1	43
CAY67098	91087	91794	90016	1	1	44
CAY67099	91914	92378	91794	2	1	45
CAY67100	92690	94186	92378	1	1	46
CAY67101	94331	94855	94186	2	1	47
CAY67102	95231	96421	94855	2	1	48
EFKPAT00000000177	96984	97071	96421	2	1	49
ENSRNA049564853-T1	96984	97071	97071	2	1	50
CAY67103	97346	98425	97071	2	1	51
CAY67104	98759	100042	98425	1	1	52
CAY67105	100198	100482	100042	1	1	53
CAY67106	100842	103343	100482	1	1	54
CAY67107	103455	105017	103343	1	1	55
CAY67108	105117	105500	105017	1	1	56
CAY67109	105593	106536	105500	2	2	57
CAY67110	106688	107533	106536	1	1	59
CAY67111	108280	110060	107533	1	2	60
CAY67112	110286	112196	110060	1	1	62
CAY67113	112859	115267	112196	1	1	63
CAY67114	115335	115622	115267	2	1	64
CAY67115	115745	118429	115622	2	1	65
CAY67116	118585	120468	118429	1	1	66
CAY67117	120473	121474	120468	2	1	67
CAY67118	121653	124279	121474	2	2	68
CAY67119	124542	126298	124279	1	2	70
CAY67120	126348	127286	126298	2	1	72
CAY67121	127870	130461	127286	1	1	73
CAY67122	130830	131702	130461	1	1	74
CAY67123	132094	136740	131702	1	1	75
CAY67124	136763	139360	136740	2	1	76
CAY67125	139577	140062	139360	1	1	77
EFKPAT00000000135	140448	140520	140062	1	1	78
ENSRNA049562031-T1	140448	140520	140520	1	1	79
CAY67127	140636	142181	140520	1	2	80
CAY67129	142624	142854	142181	1	2	82
CAY67131	143052	143219	142854	2	1	84
CAY67132	143547	144218	143219	1	2	85
CAY67133	144272	145460	144218	2	2	87
EFKPAT00000000011	145750	145822	145460	1	1	89
ENSRNA049562079-T1	145750	145822	145822	1	1	90
CAY67134	145988	147616	145822	2	1	91
CAY67135	147887	149203	147616	1	1	92
CAY67136	149340	149973	149203	1	2	93
CAY67137	150024	152072	149973	2	1	95
