5970
5017	6498	1	218	218
10238	11734	2	915	915
12197	13324	1	503	503
14950	15363	2	1367	1367
17265	19082	1	1438	1438
19281	20942	2	92	92
24467	25063	1	77	77
25977	27353	1	236	236
27495	29474	2	98	98
29839	30606	1	1512	1512
31331	32953	1	1185	1185
33146	35350	2	379	379
36295	37458	1	1482	1482
37817	38125	1	20	20
38754	38873	1	1547	1547
38764	38979	2	1076	1076
39525	42299	1	526	526
42366	44351	2	1455	1455
45315	46829	1	140	140
47055	48599	1	858	858
48592	49581	2	566	566
50360	53056	1	742	742
53291	54151	1	892	892
54198	54911	2	1306	1306
55031	56005	1	452	452
56116	57873	1	441	441
57875	59596	2	790	790
59901	60932	1	647	647
61002	62021	2	533	533
64772	66367	1	593	593
66403	69255	2	1417	1417
69611	69613	1	2	2
69679	70062	1	2	2
70517	71529	2	547	547
71584	71641	2	547	547
71802	73391	1	37	37
73491	75626	2	1010	1010
76848	76918	2	1564	1564
76848	76918	2	1674	1674
77296	80172	1	1378	1378
80452	83499	1	618	618
83813	86839	1	1084	1084
87089	88756	1	671	671
88829	90016	2	1439	1439
91087	91794	1	89	89
91914	92378	2	825	825
92690	94186	1	260	260
94331	94855	2	71	71
95231	96421	2	698	698
96984	97071	2	1606	1606
96984	97071	2	1673	1673
97346	98425	2	354	354
98759	100042	1	39	39
100198	100482	1	1368	1368
100842	103343	1	355	355
103455	105017	1	1460	1460
105117	105500	1	496	496
105593	106459	2	897	897
106534	106536	2	897	897
106688	107533	1	122	122
108280	109008	1	258	258
109047	110060	1	258	258
110286	112196	1	296	296
112859	115267	1	678	678
115335	115622	2	667	667
115745	118429	2	62	62
118585	120468	1	747	747
120473	121474	2	510	510
121653	124192	2	514	514
124255	124279	2	514	514
124542	125168	1	1491	1491
125231	126298	1	1491	1491
126348	127286	2	685	685
127870	130461	1	1515	1515
130830	131702	1	720	720
132094	136740	1	1318	1318
136763	139360	2	217	217
139577	140062	1	1319	1319
140448	140520	1	1588	1588
140448	140520	1	1623	1623
140636	140645	1	1532	1532
140743	142181	1	1532	1532
142624	142660	1	381	381
142718	142854	1	381	381
143052	143219	2	555	555
143547	143580	1	405	405
143665	144218	1	405	405
144272	145316	2	637	637
145375	145460	2	637	637
145750	145822	1	1543	1543
145750	145822	1	1624	1624
145988	147616	2	1392	1392
147887	149203	1	589	589
149340	149399	1	1286	1286
149461	149973	1	1286	1286
150024	152072	2	222	222
152393	152484	2	1590	1590
152731	153762	2	1036	1036
154034	160654	1	805	805
160809	162200	1	900	900
162206	162643	2	737	737
162734	163639	1	1236	1236
163918	165468	1	1042	1042
165519	165697	2	403	403
165755	165800	2	403	403
165931	168135	2	443	443
168393	168480	2	1541	1541
168393	168480	2	1622	1622
168843	169667	1	912	912
169853	170464	2	454	454
170782	171501	1	397	397
172249	173628	1	1090	1090
173742	174350	1	899	899
174394	176538	2	1351	1351
176665	177123	2	1262	1262
177342	178667	2	724	724
178972	179667	1	33	33
179884	180231	1	881	881
180336	181217	2	1144	1144
181423	184026	2	760	760
184469	185344	1	1379	1379
185646	187505	1	1223	1223
